,title,artist,full,reff,emotion
79,pemuja rahasia,so7,nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. akuawali hariku dengan mendoakanmu. agar kau selalu sehat dan bahagia di sana. sebelum kau melupakanku lebih jauh. sebelum kau meninggalkanku lebih jauh. akutidak pernah berharap kau akan merindukan. keberadaanku yang menyedihkan ini. akuhanya ingin bila kau melihatku. kapanpun di manapun hatimu akan berkata seperti ini. pria inilah yang jatuh hati padamu. pria inilah yang akan selalu memujamu. a ha yeah a ha yeah. begitu para rapper coba menghiburku. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. akulah orang yang selalu menaruh bunga. dan menuliskan cinta di atas meja kerjamu. akulah orang yang akan selalu mengawasimu. menikmati indahmu dari sisi gelapku. dan biarkan aku jadi pemujamu. jangan pernah hiraukan perasaan hatiku. tenanglah tenang pujaan hatiku sayang. aku takkan sampai hati bila menyentuhmu. mungkin kau takkan pernah tahu. betapa mudahnya kau untuk dikagumi. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. mungkin kau takkan pernah sadar. betapa mudahnya kau untuk dicintai. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. akulah orang yang akan selalu memujamu. akulah orang yang akan selalu mengintaimu. akulah orang yang akan selalu memujamu. akulah orang yang akan selalu mengintaimu. mungkin kau takkan pernah tahu nya nya nya nya nya nya nya . betapa mudahnya kau untuk dikagumi nya nya nya nya nya nya nya . nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. mungkin kau takkan pernah sadar nya nya nya nya nya nya nya . betapa mudahnya kau untuk dicintai nya nya nya nya nya nya nya . nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. karena hanya dengan perasaan rinduku. yang dalam padamu akupertahankan hidup. maka hanya dengan jejak jejak hatimu. ada arti akutelusuri hidup ini. selamanya hanya akubisa memujamu. selamanya hanya akubisa merindukanmu,mungkin kau takkan pernah tahu. betapa mudahnya kau untuk dikagumi. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. mungkin kau takkan pernah sadar. betapa mudahnya kau untuk dicintai. nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. mungkin kau takkan pernah tahu nya nya nya nya nya nya nya . betapa mudahnya kau untuk dikagumi nya nya nya nya nya nya nya . nya nya nya nya nya nya nya. nya nya nya nya nya nya nya. mungkin kau takkan pernah sadar nya nya nya nya nya nya nya . betapa mudahnya kau untuk dicintai nya nya nya nya nya nya nya . nya nya nya nya nya nya nya. nya nya nya nya nya nya nya,sedih
80,rindu dalam hati,"arsy widianto, brisia jodie",kadang hati berharap aku terbangun dari sebuah mimpi ini bukan kenyataan. namun adanya tidak ada di sini. kau meninggalkanku karena kesalahanku. mungkin. ingin bertemu masih ada. ingin memeluk masih ada. sayang kini tidak bisa kau telah memilihnya ooo. mungkin saat hatiku masih sayang. salahku memutus cinta dan kini aku menyesal. rindu hanya di dalam hati. andaikan aku tidak tergesa memutuskanmu. karena egoku hati ini tidak akan begini. setiap ingat dirimu rasanya ingin kembali. mungkin. ingin bertemu masih ada. ingin memeluk masih ada. sayang kini tidak bisa kau telah memilihnya ooo. mungkin saat hatiku masih sayang. salahku memutus cinta dan kini aku menyesal. rindu hanya di dalam hati. ingin memutar waktu. ingin mengulang lagi. aku tidak bisa berpaling lagi. begitu juga aku jauh di relung hati. sungguh tidak mampu untuk berpindah cinta. mungkin. ingin bertemu masih ada. ingin memeluk masih ada. sayang kini tidak bisa kau telah memilihnya ooo. mungkin saat hatiku masih sayang. salahku memutus cinta dan kini aku menyesal. rindu hanya di dalam hati. rindu hanya di dalam hati. di hati kau tetap terindah. selalu di hati,mungkin. ingin bertemu masih ada. ingin memeluk masih ada. sayang kini tidak bisa kau telah memilihnya ooo. mungkin saat hatiku masih sayang. salahku memutus cinta dan kini aku menyesal. rindu hanya di dalam hati,sedih
81,cinta sejati,bunga citra lestari ,manakala hati menggeliat mengusik renungan. mengulang kenangan saat cinta menemui cinta. suara sang malam dan siang seakan berlagu. dapat aku dengar rindumu memanggil namaku. saat aku tidak lagi di sisimu. aku tunggu kau di keabadian. aku tidak pernah pergi selalu ada di hatimu. kau tidak pernah jauh selalu ada di dalam hatiku. sukmaku berteriak menegaskan aku cinta padamu. terima kasih pada maha cinta menyatukan kita. saat aku tidak lagi di sisimu. aku tunggu kau di keabadian. cinta kita melukiskan sejarah. menggelarkan cerita penuh suka cita. sehingga siapa pun insan tuhan. pasti tahu cinta kita sejati. saat aku tidak lagi di sisimu. aku tunggu kau di keabadian. cinta kita melukiskan sejarah. menggelarkan cerita penuh suka cita. sehingga siapa pun insan tuhan. pasti tahu cinta kita sejati. lembah yang berwarna. membentuk melekuk memeluk kita. dua jiwa yang melebur jadi satu. dalam kesunyian cinta. cinta kita melukiskan sejarah. menggelarkan cerita penuh suka cita. sehingga siapa pun insan tuhan. pasti tahu cinta kita sejati,cinta kita melukiskan sejarah. menggelarkan cerita penuh suka cita. sehingga siapa pun insan tuhan. pasti tahu cinta kita sejati,bahagia
82,pilihan yang terbaik,ziva magnolya,untuk apa terus memaksa . bertahan hanya terluka. rasa kita tidak lagi sama. tidak lagi saling cinta. memang kita telah lama. namun apalah artinya . cinta tapi tersiksa. takkan nyaman jalannya. jangan dipaksa. bila semua telah berbeda. untuk apa pertahankan. jika kita tidak sejalan. jangan salahkan. untuk semua kenangan. perpisahan ini. pilihan yang terbaik. buat apa masih bertahan . jika terus terluka. nyatanya hati telah beda. biarkan aku pergi untuk bahagia. jangan dipaksa. bila semua telah berbeda. untuk apa pertahankan. jika kita tidak sejalan. jangan salahkan. untuk semua kenangan. perpisahan ini. pilihan yang terbaik. pilihan yang terbaik,jangan dipaksa. bila semua telah berbeda. untuk apa pertahankan. jika kita tidak sejalan. jangan salahkan. untuk semua kenangan. perpisahan ini. pilihan yang terbaik,sedih
83,kota,dere,di kota ini sehabis hujan. desember yang lalu. di kota ini dalam ruangan. berpenyejuk udara. kau dan wangimu bersanding dengan. riuh angin diluar. udara mana kini yang kau hirup . hujan dimana kini yang kau peluk . dimana pun kau kini. rindu tentangmu tidak pernah pergi. dijalan ini menguning langit. berkendara denganmu. tajam mentari menembus pelan. bening teduh matamu. kau dan wangimu berpadu utuh. tabungan kelak rindu. udara mana kini yang kau hirup . hujan dimana kini yang kau peluk . dimana pun kau kini hmm. rindu tentangmu tidak pernah pergi. udara mana kini yang kau hirup . hujan dimana kini yang kau peluk . dimana pun kau kini uh uh. rindu tentangmu tidak pernah pergi. rindu tentangmu tidak pernah pergi,udara mana kini yang kau hirup . hujan dimana kini yang kau peluk . dimana pun kau kini. rindu tentangmu tidak pernah pergi,sedih
84,berisik,dere,oh manusia berisik. bermulut satu dan bicaranya lantang. lidah tertutup gigi. tapi bagai terpampang. oh manusia berisik. berakal budi tapi terkadang lupa. kalau hidup di dunia. hanya bertamu saja. bicaralah. secukupnya. tidak semua. harus terucap. oh manusia berisik. punya hati tapi tidak hati hati. beralaskan logika. sering merasa benar. bicaralah. secukupnya. tidak semua. harus terucap. aku manusia berisik. kutulis lagu ini bukan karena aku. merasa paling benar. tapi karena kurasa. kadang aku juga lupa ‘untuk bicara secukupnya,bicaralah. secukupnya. tidak semua. harus terucap,marah
85,runtuh,feby putri feat. fiersa besari,ku terbangun lagi. diantara sepi hanya pikiran yang ramai. mengutuki diri. tidak bisa kembali untuk mengubah alur kisah. ketika mereka meminta tawa. ternyata rela tidak semudah kata. tidak perlu khawatir aku hanya terluka. terbiasa untuk pura pura tertawa. namun bolehkah sekali saja aku menangis. sebelum kembali membohongi diri. ketika kau lelah. berhentilah dulu beri ruang beri waktu. mereka bilang syukurilah saja. padahal rela tidak semudah kata. tidak perlu khawatir aku hanya terluka. terbiasa untuk pura pura tertawa. namun bolehkah sekali saja aku menangis. sebelum kembali membohongi diri. ha ha ha aaa. ha ha ha aaa. ha ha ha aaaa. kita hanyalah manusia yang terluka. terbiasa untuk pura pura tertawa. namun bolehkah sekali saja aku menangis. aku tidak ingin lagi membohongi diri. aku ingin belajar menerima diri,tak perlu khawatir aku hanya terluka. terbiasa untuk pura pura tertawa. namun bolehkah sekali saja aku menangis. sebelum kembali membohongi diri,sedih
86,dulu,danar,dulu aku kau maki. aku kau hina. aku kau benci. dulu kau injaki. harga diri. aku tidak sempurna. akan kubuktikan. kan kulawan. tidak kan terhenti. akan kubuktikan. aku tidak kan mati. karena di bully. dulu engkau rengkuh. semua maumu. walau aku ringkih. dulu kau berkuasa. karena harta. bapakmu punya. akan kubuktikan. kan aku lawan. tidak kan terhenti. akan kubuktikan. aku tidak kan mati. karena di bully,akan kubuktikan. kan kulawan. tidak kan terhenti. akan kubuktikan. aku tidak kan mati. karena di bully,marah
87,mesin waktu,budi doremi,kalau harus aku mengingatmu lagi. aku takkan sanggup. dengan yang terjadi pada kita. jika melupakanmu hal yang mudah. ini takkan berat. takkan membuat hatiku lelah. kalah aku akui aku kalah. cinta ini pahit dan tidak harus memiliki. jika aku bisa. aku akan kembali. aku akan merubah. takdir cinta yang kupilih. meskipun tidak mungkin. walapun aku mau. bawa kamu. lewat mesin waktu. jika melupakanmu hal yang mudah. ini takkan berat. takkan membuat hatiku lelah. panjang perjalanan yang harus aku lalui. aku merelakanmu. jika aku bisa. aku akan kembali. aku akan merubah. takdir cinta yang kupilih. meskipun tidak mungkin. walapun aku mau. bawa kamu. lewat mesin waktu. jika aku bisa. aku akan kembali. aku akan merubah. takdir cinta yang kupilih. meskipun tidak mungkin. walapun aku mau. bawa kamu. lewat mesin waktu. jika aku bisa. aku akan kembali. aku akan merubah. takdir cinta yang kupilih. meskipun tidak mungkin. walapun aku mau. bawa kamu. lewat mesin waktu,jika aku bisa. aku akan kembali. aku akan merubah. takdir cinta yang kupilih. meskipun tidak mungkin. walapun aku mau. bawa kamu. lewat mesin waktu,sedih
88,mungkinkah,stinky,tetes air mata basahi pipimu. di saat kita kan berpisah. terucapkan janji padamu kasihku. takkan kulupakan dirimu. begitu beratnya kau lepas diriku. sebut namaku jika kau rindukan aku. aku akan datang. mungkinkah kita kan selalu bersama. walau terbentang jarak antara kita. biarkan kupeluk erat bayangmu. untuk melepaskan semua kerinduanku. lambaian tanganmu iringi langkahku. terbersit tanya di hatiku. akankah dirimu kan tetap milikku. saat kembali di pelukanku. mungkinkah kita kan selalu bersama. walau terbentang jarak antara kita. biarkan kupeluk erat bayangmu. untuk melepaskan semua kerinduanku. o oh. begitu beratnya kau lepas diriku. sebut namaku jika kau rindukan aku. aku akan datang. mungkinkah kita kan selalu bersama. walau terbentang jarak antara kita. biarkan kupeluk erat bayangmu. untuk melepaskan semua kerinduanku. kau kusayang selalu kujaga. takkan kulepas slamanya. hilangkanlah keraguanmu. pada diriku. di saat. kujauh darimu,mungkinkah kita kan selalu bersama. walau terbentang jarak antara kita. biarkan kupeluk erat bayangmu. untuk melepaskan semua kerinduanku,takut
89, cintanya aku,"tiara andini, arsy widianto",tergetar aku. tepat di hadapanmu. debar jantungku berdetak. saat aku genggam tanganmu. beruntung aku. kini dapatkan cintamu. yang tercantik di hatiku. sejak awalku bertemu. janji padaku. jangan kau lukai. hati seperti. kisah yang lalu. kau bukan cinta pertamaku. namun aku berharap. mulai hari ini saat ini. engkau cintanya aku. yang kurasakan. denganmu semua berbeda. kekasih yang baik hati. kini ada di sampingku. janji padaku. jangan ada lagi. hati yang lain. selain aku. kau bukan cinta pertamaku. namun aku berharap. mulai hari ini saat ini. engkau cintanya aku. jangan pernah ragukan. kesetiaan hatiku. aku tidak inginkan. bila ini terbagi. cinta . engkau cintanya aku. kau bukan cinta pertamaku . namun aku berharap. mulai hari ini saat ini. engkau cintany aku. kau bukan cinta peramaku. namun aku berharap. mulai hari ini saat ini. engkau cintanya aku. mulai hari ini saati ini. engkau cintanya aku. satu untuk selamanya,kau bukan cinta pertamaku. namun aku berharap. mulai hari ini saat ini. engkau cintanya aku,bahagia
90,rizky febian,hingga tua bersama,inikah kisah cinta. yang aku sesali. kini kau tinggalkan diriku. aku tahu ini semua kesalahanku. yang selalu membuatmu terluka. maafkanlah sayangku. dengarkan janjiku. selama jantung ini berdetak. aku akan selalu menjagamu. hingga akhir waktu. selama nafas ini berhembus. tidak akan ada cinta yang lain. hingga tua bersama. o ooo . aku mohon kembalilah dalam pelukanku. lihatlah diriku tanpamu. maafkanlah sayangku. dengarkan janjiku. selama jantung ini berdetak. aku akan selalu menjagamu. hingga akhir waktu. selama nafas ini berhembus. tidak akan ada cinta yang lain. hingga tua bersama. hati ini tidak akan mungkin. tanpa cintamu yang begitu tulus. mencintaiku. ou ooo . selama jantung ini berdetak. aku akan selalu menjagamu. hingga akhir waktu. selama nafas ini berhembus. tidak akan ada cinta yang lain. hingga tua bersama. aku akan selalu menjagamu. hingga akhir waktu. selama nafas ini berhembus. tidak akan ada cinta yang lain. o ooo . tidak akan ada cinta yang lain. hingga tua bersama,selama jantung ini berdetak. aku akan selalu menjagamu. hingga akhir waktu. selama nafas ini berhembus. tidak akan ada cinta yang lain. hingga tua bersama,sedih
91,tiara andini,usai,mungkin inilah waktunya. mungkin inilah saatnya. aku mengerti rasa sesal. saat ada yang pergi menghilang. kau datang mengukir luka. yang sayang untuk dilupakan. kau pergi tanpa mengajarkan. cara untuk merelakanmu. usai sudah semua cerita. yang telah kita ukir berdua. meninggalkan dirimu adalah. hal terberat yang harus aku jalani. aku memang kehilangan. kamu yang sangat aku cintai. namun kau telah kehilangan. aku yang sangat mencintaimu. ho oh oh. aku akan terus belajar untuk melupakan kamu. yang begitu mudah melupakanku. ho oh. usai sudah semua cerita. yang telah kita ukir berdua. meninggalkan dirimu adalah. hal terberat yang harus aku jalani. aku memang kehilangan. kamu yang sangat aku cintai. namun kau telah kehilangan. aku yang sangat mencintaimu. usai sudah semua cerita . oh oh uh oh uh oh. yang telah kita ukir berdua . meninggalkan dirimu adalah. hal terberat yang harus aku jalani. aku memang kehilangan. kamu yang sangat aku cintai. namun kau telah kehilangan. aku yang sangat mencintaimu hu hu uh. aku yang sangat mencintaimu,usai sudah semua cerita. yang telah kita ukir berdua. meninggalkan dirimu adalah. hal terberat yang harus aku jalani. aku memang kehilangan. kamu yang sangat aku cintai. namun kau telah kehilangan. aku yang sangat mencintaimu,sedih
92,bunga citra lestari,kecewa,sedikit waktu yang kau miliki. luangkanlah untukku. harap secepatnya datangi aku. sih’kali ini aku mohon padamu. ada yang ingin aku sampaikan. sempatkanlah…. hampa kesal dan amarah. sih’luruhnya ada dibenakku. tandai seketika. hati yang tidak terbalas. oleh cintamu…. kuingin marah melampiaskan tapi kuhanyalah sendiri disini. ingin kutunjukkan pada siapa saja yang ada. bahwa hatiku kecewa…. sedetik menunggumu disini sih’perti seharian. berkali kulihat jam ditangan. demi membunuh waktu. tidak kulihat tanda kehadiranmu. yang semakin meyakiniku. kau tidak datang. hampa kesal dan amarah. sih’luruhnya ada dibenakku. tandai seketika. hati yang tidak terbalas. oleh cintamu…. kuingin marah melampiaskan tapi kuhanyalah sendiri disini. ingin kutunjukkan pada siapa saja yang ada. bahwa hatiku kecewa…. hampa kesal dan amarah. sih’luruhnya ada dibenakku. tandai seketika. hati yang tidak terbalas. oleh cintamu…. kuingin marah melampiaskan tapi kuhanyalah sendiri disini. ingin kutunjukkan pada siapa saja yang ada. bahwa hatiku kecewa…,hampa kesal dan amarah. sih’luruhnya ada dibenakku. tandai seketika. hati yang tidak terbalas. oleh cintamu…. kuingin marah melampiaskan tapi kuhanyalah sendiri disini. ingin kutunjukkan pada siapa saja yang ada. bahwa hatiku kecewa…,marah
93,anggi marito,tak segampang itu,waktu demi waktu. hari demi hari. sadar aku t’lah sendiri. kau t’lah pergi jauh. tinggalkan diriku. ternyata aku rindu. senyuman yang sih’lalu membungkus hati yang terluka. di depan mereka. tuhan masih pantaskah aku ‘untuk bersamanya. karena hati ini inginkannya. tidak segampang itu aku mencari penggantimu. tidak segampang itu aku menemukan sosok seperti dirimu cinta. kau tahu betapa besar cinta yang kutanamkan padamu. mengapa kau memilih untuk berpisah. terlalu besar kutaruh harapan pada dirimu. itu alasanku lama tanpa dirimu. mereka yang bilang aku akan dapat lebih darimu. tidak mungkin. semua itu tidak mudah. aku mencari penggantimu. tidak segampang itu aku menemukan sosok seperti dirimu ooo cinta. kau tahu betapa besar cinta yang kutanamkan padamu. mengapa kau memilih untuk berpisah. aku mencari penggantimu ooo…. sosok seperti dirimu cinta. kau tahu betapa besar cinta yang kutanamkan padamu. mengapa kau memilih untuk berpisah. kau memilih untuk berpisah,tak segampang itu aku mencari penggantimu. tidak segampang itu aku menemukan sosok seperti dirimu cinta. kau tahu betapa besar cinta yang kutanamkan padamu. mengapa kau memilih untuk berpisah,sedih
94,lebih indah,adera,saat aku tenggelam dalam sendu. waktupun enggan untuk berlalu. aku berjanji untuk menutup pintu hatiku. entah untuk siapapun itu. semakin aku lihat masa lalu. semakin hatiku tidak menentu. tetapi satu sinar terangi jiwaku. saat aku melihat senyummu. dan kau hadir merubah segalanya. menjadi lebih indah. kau bawa cintaku setinggi angkasa. membuatku merasa sempurna. dan membuatku utuh untuk menjalani hidup. berdua denganmu selama lamanya. kaulah yang terbaik untukku. kini aku ingin hentikan waktu. bila kau berada di dekatku. bunga cinta bermekaran dalam jiwaku. kan aku petik satu untukmu. dan kau hadir merubah segalanya. menjadi lebih indah. kau bawa cintaku setinggi angkasa. membuatku merasa sempurna. dan membuatku utuh untuk menjalani hidup. berdua denganmu selama lamanya. kaulah yang terbaik untukku. kaulah yang terbaik untukku. aku percayakan seluruh hatiku padamu. kasihku satu janjiku kaulah yang terakhir bagiku. dan kau hadir merubah segalanya. menjadi lebih indah. kau bawa cintaku setinggi angkasa. membuatku merasa sempurna. dan membuatku utuh untuk menjalani hidup. berdua denganmu selama lamanya. kaulah yang terbaik untukku,dan kau hadir merubah segalanya. menjadi lebih indah. kau bawa cintaku setinggi angkasa. membuatku merasa sempurna. dan membuatku utuh untuk menjalani hidup. berdua denganmu selama lamanya. kaulah yang terbaik untukku,bahagia
95,lyodra,ego,cinta. yang dulu kulewati begitu indah. bersamamu. tawa. canda tangis kita lewati bersama. mmm. kini semua berubah. bahagia telah hilang. maaf. jika memang aku yang bersalah. lelah dengan kesunyian ini. bersama pun tidak saling bicara. aku. tidak sanggup kita terus begini. tidak ingin cinta usai di sini. aku rindukan senyummu. aku ingin peluk dirimu. mmm. tapi rasa egoku terlalu tinggi. tuhan tolonglah diriku. aku tidak ingin pisah dengannya. hmm. kini semua berubah. bahagia telah hilang. maaf. jika memang aku yang bersalah oh. lelah dengan kesunyian ini. bersama pun tidak saling bicara. uh uh uh uh uh. aku. tidak sanggup kita terus begini. tidak ingin cinta usai di sini. aku rindukan senyummu. aku ingin peluk dirimu. uh uh. tapi rasa egoku terlalu tinggi. tuhan tolonglah diriku. aku tidak ingin pisah dengannya. ha ah. ha ah ah ah. tuhan tolonglah diriku. aku tidak ingin pisah dengannya,maaf. jika memang aku yang bersalah. lelah dengan kesunyian ini. bersama pun tidak saling bicara,sedih
96,fourtwnty,fana merah jambu,di depan teras rumah. fana merah jambu aku berdua. momen momen tidak palsu. air tuhan turun aromamu. tersalurkan aliran syaraf buntu. martin tua media pembuka. berdansa sore hariku. sejiwa alam dan duniamu. melebur sifat kakuku. hal bodoh jadi lucu. obrolan tidak perlu kala itu. oh tersalurkan aliran syaraf buntu. martin tua media pembuka. berdansa sore hariku. sejiwa alam dan duniamu. melebur sifat kakuku. rasanya tidak cukup waktu. terlalu cepat berlalu. soreku nyaman denganmu. menarilah menarilah. menarilah denganku. genggam tangan cokelatku. berputar putar denganku. menarilah denganku. menarilah menarilah. tersalurkan aliran syaraf buntu. martin tua media pembuka. tersalurkan aliran syaraf buntu. martin tua media pembuka. media pembuka. berdansa sore hariku. sejiwa alam dan duniamu. melebur sifat kakuku. rasanya tidak cukup waktu. terlalu cepat berlalu. soreku nyaman denganmu. oh menarilah menarilah. oh menarilah denganku. genggam tangan cokelatku. berputar putar denganku. menarilah denganku. menarilah,berdansa sore hariku. sejiwa alam dan duniamu. melebur sifat kakuku,bahagia
97,hivi!,orang ke 3,saat berjumpa dan kau menyapa. indah parasmu hangatkan suasana. buatku tidak percaya mimpi indahku jadi nyata. saat sendiri jalani hari. bayang bayangmu selalu menghampiri. dan aku pun mengerti apa maunya hati ini. namun tiba tiba kau ada yang punya. hati ini terluka. sungguh aku kecewa ingin aku berkata. kasih maaf bila aku jatuh cinta. maaf bila saja aku suka. saat kau ada yang punya. haruskah aku pendam rasa ini saja. ataukah aku teruskan saja. hingga kau meninggalkannya dan kita bersama. namun tiba tiba kau ada yang punya. hati ini terluka terluka . sungguh aku kecewa sungguh aku kecewa ingin aku berkata. kasih maaf bila aku jatuh cinta. maaf bila saja aku suka. saat kau ada yang punya. haruskah aku pendam rasa ini saja. ataukah aku teruskan saja. hingga kau meninggalkannya dan kita bersama. akankah ada kesempatan untuk diriku menyatakan. rasa yang selama ini ada. kasih maaf bila aku jatuh cinta maaf bila kau jatuh cinta. maaf bila saja aku suka maaf bila saja kau suka. saat kau ada yang punya. haruskah aku pendam rasa ini saja. ataukah aku teruskan saja. hingga kau meninggalkannya dan kita bersama. kasih maaf bila aku jatuh cinta. maaf bila saja aku suka. saat kau ada yang punya. haruskah aku pendam rasa ini saja. ataukah aku teruskan saja. hingga kau meninggalkannya dan kita bersama,kasih maaf bila aku jatuh cinta. maaf bila saja aku suka. saat kau ada yang punya. haruskah aku pendam rasa ini saja. ataukah aku teruskan saja. hingga kau meninggalkannya dan kita bersama,sedih
98,afgan,jodoh pasti bertemu,andai engkau tahu betapa aku mencinta. selalu menjadikanmu isi dalam doaku. aku tahu tidak mudah menjadi yang kau pinta. aku pasrahkan hatiku takdir kan menjawabnya. jika aku bukan jalanmu. aku berhenti mengharapkanmu. jika aku memang tercipta untukmu. aku kan memilikimu jodoh pasti bertemu. andai engkau tahu betapa aku mencinta. selalu menjadikanmu isi dalam doaku. aku tahu tidak mudah menjadi yang kau pinta. aku pasrahkan hatiku takdir kan menjawabnya. jika aku bukan jalanmu. aku berhenti mengharapkanmu. jika aku memang tercipta untukmu. aku kan memilikimu jodoh pasti bertemu. ku tuliskan dinadiku kau yang tercipta untukku akan memilikimu . jika aku jika aku bukan jalanmu. aku berhenti mengharapkanmu. jika aku memang tercipta untukmu. aku kan memilikimu. jika aku bukan jalanmu . aku berhenti mengharapkanmu. jika aku memang tercipta untukmu. aku kan memilikimu jodoh pasti bertemu,jika aku bukan jalanmu. aku berhenti mengharapkanmu. jika aku memang tercipta untukmu. aku kan memilikimu jodoh pasti bertemu,sedih
99,gac,bahagia,hai hai apa kabar kawan. siapkah kau untuk melangkahi masalahmu hadapi esok pagi. hai hai apa kabar kawan. siapkah kau untuk melangkah ke masa depan menantikan pelangi. percayalah kawan esok kan berbeda. pasti kan engkau mencoba. buat mimpimu jadi nyata oh nyata. kita semua pasti bisa asalkan kita melangkah. sambut hari yang indah. marilah kita mensyukuri semua berkat tuhan hidup ini. kita bahagia kita bahagia. bersama hangatnya mentari nikmati dan lukiskan memori. kita bahagia kita bahagia. ba ha gia iya. ba ha gia iyaiya. ba ha gia hoyeee. hai hai bagaimana kawan. apakah kau merangkai semua citamu bebaskan harapanmu. hai hai bagaimana kawan. apakah kau menapaki babak baru pancarkan semangatmu. percayalah kawan esok kan berbeda. pasti kan engkau mencoba. buat mimpimu jadi nyata oh nyata. kita semua pasti bisa asalkan kita melangkah. sambut hari yang indah. marilah kita mensyukuri semua berkat tuhan hidup ini. kita bahagia kita bahagia. bersama hangatnya mentari nikmati dan lukiskan memori. kita bahagia kita bahagia. ba ha gia iya. ba ha gia iyaiya. ba ha gia hoyeee. go clap your hands this beat gonna memakai itu turn. gonna clap my hands sok now i sama gonna memakai itu burn i sama a. ba ha gia iya ya . ba ha gia iyaiya huh . banget you gon like this beat baby yeah i sama sure. better memakai itu right watch itu i sih and you learn kita. ba ha gia iya. ba ha gia iyaiya. marilah kita mensyukuri nikmati dan lukiskan memori. kita bahagia kita bahagia. ba ha gia iya. ba ha gia iyaiya. ba ha gia hoyeee jalani hidup ini. ba ha gia iya. ba ha gia iyaiya. ba ha gia hoyeee jalani hidup ini,marilah kita mensyukuri semua berkat tuhan hidup ini. kita bahagia kita bahagia. bersama hangatnya mentari nikmati dan lukiskan memori. kita bahagia kita bahagia. ba ha gia iya. ba ha gia iyaiya. ba ha gia hoyeee,bahagia
100,duka,last child,kau membunuhku dengan kepedihan ini. kau hempaskanku kedalam retaknya hati. hingga air mata tidak mampu. untuk melukiskan perih. yang kau ukir dalam hati ini. kau hancurkan diriku saat engkau pergi. setelah kau patahkan sayap ini. hingga aku takkan bisa. untuk terbang tinggi lagi. dan mencari bintang. yang dapat menggantikanmu. sampai kini masih kucoba. untuk terjaga dari mimpiku. yang buatku tidak sadar. bahwa kau bukan lagi milikku. walau hati tidak akan pernah. dapat melupakan dirimu. dan tiap tetes air mata. yang jatuh kuatkan rinduku. pada indah bayangmu canda tawamu. pada indahnya duka dalam kenangan kita. kau hancurkan diriku saat engkau pergi. setelah kau patahkan sayap ini. hingga aku takkan bisa. untuk terbang tinggi lagi. dan mencari bintang. yang dapat menggantikanmu. sampai kini masih kucoba. untuk terjaga dari mimpiku. yang buatku tidak sadar. bahwa kau bukan lagi milikku. walau hati tidak akan pernah. dapat melupakan dirimu. dan tiap tetes air mata. yang jatuh kuatkan rinduku. pada indah bayangmu canda tawamu. pada indahnya duka dalam kenangan kita. sampai kini masih kucoba. untuk terjaga dari mimpiku. yang buatku tidak sadar. bahwa kau bukan lagi milikku. walau hati tidak akan pernah. dapat melupakan dirimu. dan tiap tetes air mata. yang jatuh kuatkan rinduku. pada indah bayangmu canda tawamu. pada indahnya duka dalam kenangan kita,sampai kini masih kucoba. untuk terjaga dari mimpiku. yang buatku tidak sadar. bahwa kau bukan lagi milikku. walau hati tidak akan pernah. dapat melupakan dirimu. dan tiap tetes air mata. yang jatuh kuatkan rinduku. pada indah bayangmu canda tawamu. pada indahnya duka dalam kenangan kita,sedih
101,kamu jahat,geisha,aku pernah jadi malaikatmu. menjaga kamu selalu. dari hari burukmu. dulu akulah penyelamatmu. pelindung dalam jiwamu. oh selalu ada untukmu. firasatku berkata untuk jauh darimu. lalu aku temui kamu. tidak kusangka kamu ada didepanku. bermain cinta. terang saja terlihat dimataku. kau peluk dia jelas didepanku. apa kamu lupa pengorbananku. kamu terlalu jahat perlakukan diriku sekejam ini. lebih baik aku sendiri. aku pernah jadi malaikatmu. menjaga kamu selalu. oh dari hari burukmu oh oh. terang saja terlihat di mataku. penghianatan ada di depanku. bagaimana kini aku kan percaya. kamu terlalu jahat perlakukan diriku sekejam ini. lebih baik aku sendiri. tenang saja aku lepaskan cintamu. kau peluk dia jelas didepanku. apa kamu lupa pengorbananku. kamu terlalu jahat perlakukan diriku sekejam ini. lebih baik aku sendiri. lebih baik aku sendiri,terang saja terlihat dimataku. kau peluk dia jelas didepanku. apa kamu lupa pengorbananku. kamu terlalu jahat perlakukan diriku sekejam ini. lebih baik aku sendiri,sedih
